YEAR,MONTH,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District.of.Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New.Hampshire,New.Jersey,New.Mexico,New.York,North.Carolina,North.Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode.Island,South.Carolina,South.Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West.Virginia,Wisconsin,Wyoming
1953,5,46,24,70,222,10,22,0,26,36,6,3,12,47,13,14,16,8,53,14,130,131,4,31,31,14,12,0,17,170,68,124,32,0,85,43,103,181,34,18,6,42,910,0,30,30,38,24,77,3
1953,6,21,20,61,159,13,49,4,24,20,20,20,20,67,9,18,48,9,27,43,150,194,10,7,13,34,2,0,10,145,52,260,37,3,94,22,145,147,45,32,1,21,552,42,21,34,45,31,69,11
1953,7,17,11,24,108,41,42,6,11,18,11,7,58,51,17,28,65,15,18,53,126,245,8,23,12,39,3,0,16,174,34,263,43,22,113,27,148,220,32,21,6,35,453,6,23,73,84,43,104,8
1953,8,25,17,95,118,20,51,1,10,11,7,4,79,96,22,27,22,11,13,52,166,378,16,12,32,32,5,0,5,188,29,211,19,6,128,32,113,274,10,25,3,56,312,8,18,58,51,25,95,5
1953,9,43,7,77,122,24,70,8,18,31,3,14,114,81,22,27,92,16,15,76,186,396,30,2,16,20,2,0,5,202,17,272,23,3,214,20,64,233,27,12,2,31,255,12,49,25,75,76,106,4
1953,10,16,11,53,116,15,55,2,14,8,10,2,91,118,45,27,111,8,17,40,174,357,23,14,28,6,1,0,16,143,14,254,26,9,164,14,23,256,23,3,10,13,249,12,52,18,34,57,133,5
1953,11,46,21,22,113,10,60,5,9,7,5,3,68,87,111,9,92,8,7,45,164,319,12,12,13,13,2,0,16,122,7,287,17,3,134,10,40,291,54,116,1,53,168,0,88,27,77,50,119,0
1953,12,24,5,25,177,32,53,2,6,17,7,13,57,103,25,14,96,8,17,108,157,373,37,15,13,6,8,0,50,181,24,412,14,5,148,13,43,306,51,17,6,20,232,1,125,14,124,84,205,2
1954,1,47,64,55,160,9,98,2,12,23,11,6,105,187,23,28,235,10,16,90,166,452,27,11,26,5,9,2,67,171,16,504,54,3,55,15,85,337,68,9,6,15,421,9,115,89,82,106,247,0
1954,2,32,68,101,212,16,120,1,10,36,20,6,112,132,28,46,118,11,24,76,238,395,37,34,19,6,1,0,38,145,13,438,63,3,162,15,100,294,60,32,14,28,399,2,97,76,170,94,165,0
1954,3,41,127,131,248,23,148,0,17,14,13,11,122,68,9,43,275,6,19,82,338,387,64,26,17,12,2,2,22,163,27,581,55,30,214,23,99,321,27,13,1,40,494,18,150,105,209,82,136,0
1954,4,45,44,116,232,19,154,5,11,33,21,14,139,116,10,29,167,12,28,37,207,391,33,31,29,7,1,1,9,126,27,398,71,22,178,18,72,247,24,13,2,54,768,58,60,79,160,49,105,3
1954,5,74,67,77,381,34,149,3,8,21,47,9,139,161,28,30,103,9,23,69,194,291,83,25,31,18,2,3,12,140,34,343,42,21,197,20,75,356,69,41,0,120,888,73,25,119,131,69,73,1
1954,6,64,53,110,626,25,210,5,8,38,28,9,79,90,26,37,172,14,9,63,141,266,58,35,32,22,3,13,18,176,32,382,60,10,189,6,48,165,47,19,0,108,483,136,19,127,99,76,61,0
1954,7,66,50,75,476,27,106,9,7,46,66,14,170,98,49,57,206,10,11,103,161,539,105,29,53,23,3,5,7,150,28,352,103,40,161,28,53,287,64,26,13,120,724,127,7,151,48,84,156,5
1954,8,60,38,30,522,25,138,1,22,25,41,44,244,87,29,67,93,16,8,94,159,643,87,22,44,15,8,0,8,157,21,454,103,42,253,20,47,266,36,39,13,104,410,35,8,170,43,143,159,1
1954,9,18,80,68,677,46,148,0,12,27,18,15,243,117,36,28,176,18,25,78,184,656,116,14,47,17,4,3,2,169,8,361,69,50,241,14,54,260,154,46,30,82,249,21,1,127,94,211,160,2
1954,10,144,38,50,429,23,180,1,6,43,15,18,206,150,47,19,187,24,30,62,213,507,103,10,54,3,2,0,25,152,19,385,66,18,267,12,57,374,101,61,12,155,297,12,17,116,106,281,289,5
1954,11,120,74,25,438,23,369,4,13,11,20,20,165,115,35,18,220,19,66,88,344,576,200,36,55,10,12,0,42,250,21,376,64,29,194,29,45,453,249,57,5,131,313,26,38,95,98,190,302,3
1954,12,78,135,32,587,12,246,3,22,22,58,23,150,149,51,25,130,9,88,90,317,517,189,10,51,7,2,0,83,198,33,310,37,46,147,19,66,392,339,23,23,114,378,36,35,156,179,190,318,1
1955,1,114,120,109,488,16,179,2,17,45,14,15,197,195,102,63,85,19,92,43,308,456,136,14,40,14,5,0,76,174,27,191,37,46,99,25,44,409,173,30,11,134,772,31,8,160,137,202,341,14
1955,2,96,119,48,486,19,99,1,9,43,15,31,127,135,119,52,181,14,79,34,214,311,80,14,53,36,1,3,33,100,67,143,54,38,119,18,48,214,80,23,2,54,628,41,49,136,143,235,199,1
